Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
73,311,115,2,4.4,3.8,9.54,1,0.58
74,314,96,1,4.3,3.3,7.87,0,0.94
75,314,80,3,3.2,3.4,8.65,0,0.58
76,321,107,2,2.8,2.2,6.18,1,0.51
77,281,113,5,2.2,2.1,6.02,1,0.67
78,320,95,3,4.5,4.6,8.8,0,0.77
79,291,82,5,3.2,4.7,6.08,1,0.92
80,280,111,4,4.9,2.5,8.46,1,0.62
81,316,85,1,2.2,4.3,7.76,0,0.86
82,321,108,4,4.2,2.8,9.83,0,0.51
83,328,104,1,2.0,3.7,6.66,1,0.76
84,307,118,4,4.3,3.7,6.03,0,0.83
85,289,112,1,3.5,4.3,9.05,0,0.75
86,324,93,5,2.9,2.9,6.29,1,0.75
87,300,111,3,5.0,2.1,7.61,0,0.82
88,330,99,4,2.1,3.4,9.88,1,0.98
89,338,93,5,4.5,4.0,9.0,1,0.94
90,299,97,4,3.1,4.3,9.32,0,0.89
91,340,102,5,3.7,4.4,6.96,0,0.59
92,314,113,3,2.9,2.9,7.57,0,0.96
93,315,95,2,4.9,2.5,7.82,1,0.68
94,296,120,3,4.3,2.3,7.75,0,0.69
95,285,81,5,2.6,4.2,9.55,1,0.5
96,327,82,3,3.3,3.5,7.83,1,0.74
97,309,84,2,2.6,3.3,9.11,1,0.97
98,333,82,3,2.4,4.7,8.86,0,0.83
99,325,91,4,2.4,4.5,9.52,1,0.89
100,337,98,2,2.3,4.2,7.49,0,0.73
101,303,110,4,2.2,3.2,8.71,1,0.79
102,335,107,5,2.9,4.6,8.5,1,0.67
103,300,104,1,2.0,4.3,6.1,0,0.55
104,323,90,4,3.1,3.0,7.89,1,0.78
105,300,114,2,3.2,3.0,7.2,0,0.79
106,283,81,2,2.7,2.4,7.89,0,0.97
107,294,100,4,2.0,3.3,7.41,1,0.83
108,305,94,5,4.6,2.1,8.84,1,0.89
109,293,114,4,4.6,4.4,8.34,1,0.52
110,294,95,5,3.9,2.0,6.3,0,0.96
111,312,84,2,4.8,3.1,6.28,0,0.78
112,313,109,1,2.1,4.9,8.05,0,0.63
113,294,101,5,3.1,2.6,7.31,1,0.59
114,286,87,3,4.7,4.5,7.16,1,0.53
115,340,96,2,4.1,2.9,8.76,0,0.52
116,310,88,5,4.3,4.8,9.11,1,0.73
117,310,120,1,2.6,2.7,6.46,0,0.61
118,331,107,5,3.8,4.9,8.74,1,0.8
119,327,120,1,3.9,2.7,9.96,1,0.74
120,318,109,3,2.4,4.7,8.21,0,0.77
121,326,94,3,3.5,3.9,6.65,0,0.84
122,324,102,1,3.3,4.7,8.15,0,0.97
123,291,97,4,2.3,4.4,7.53,0,0.54
124,281,107,2,4.3,2.8,9.5,1,0.85
125,280,96,2,2.6,2.4,7.01,1,0.93
126,321,105,4,3.0,4.7,6.56,0,0.85
127,290,99,3,4.8,3.6,9.25,1,0.61
128,295,98,3,3.3,2.6,9.34,1,0.86
129,334,89,3,5.0,3.4,8.63,0,0.87
130,317,118,5,3.8,2.7,8.02,1,0.66
131,305,106,2,3.7,3.0,9.39,0,0.56
132,292,113,1,2.0,4.2,9.85,1,0.54
133,295,115,1,3.8,2.7,6.94,0,0.69
134,316,95,5,4.4,3.1,8.87,1,0.51
135,300,87,5,2.9,2.6,6.26,0,0.7
136,282,101,5,3.9,4.5,9.41,1,0.66
137,295,83,4,2.1,3.8,6.16,0,0.73
138,280,88,3,5.0,4.9,8.0,1,0.54
139,283,81,1,3.6,3.8,6.48,1,0.75
140,310,113,2,4.6,4.8,9.4,0,0.69
141,316,86,5,3.4,2.1,7.97,0,0.61
142,328,111,5,3.8,3.9,6.89,1,0.95
143,324,104,5,3.1,2.1,7.66,1,0.79
144,319,85,3,2.3,2.7,7.02,0,0.64
145,310,84,2,2.1,4.7,9.74,0,0.78
146,310,96,1,4.8,2.8,8.08,1,0.86
147,332,110,3,2.7,4.9,7.45,1,0.77
148,296,94,4,2.1,2.4,6.78,1,0.59
149,308,90,2,2.4,2.3,6.14,0,0.88
150,326,86,1,4.3,3.3,9.91,1,0.71
151,291,81,1,2.4,3.0,6.75,1,0.87
152,339,104,3,4.1,2.0,9.68,1,0.51
153,310,87,5,3.6,4.0,9.57,0,0.59
154,321,112,4,4.9,4.3,9.94,0,0.75
155,319,82,1,4.3,3.0,9.87,0,0.97
156,295,119,1,2.5,4.0,7.18,0,0.98
157,307,105,5,3.2,3.6,9.9,0,0.56
158,323,91,2,4.3,4.7,8.11,1,1.0
159,302,97,2,4.9,3.6,8.87,1,0.65
160,291,90,4,2.2,2.4,9.99,0,0.61
161,280,104,2,4.9,2.9,6.46,1,0.85
162,286,108,2,2.3,4.2,8.18,1,0.89
163,285,119,1,3.3,4.2,7.36,0,0.84
164,312,101,3,3.3,4.5,8.5,0,0.57
165,290,81,4,4.7,4.8,7.89,0,0.94
166,316,116,5,4.5,4.9,7.06,0,0.64
167,315,84,4,4.7,5.0,8.22,0,0.69
168,331,118,2,4.2,4.4,9.95,0,0.7
169,330,101,5,4.2,3.2,7.88,0,0.81
170,308,117,1,3.8,2.5,7.97,0,0.61
171,324,120,4,2.6,2.1,8.16,0,0.87
172,319,117,5,4.8,2.8,9.71,0,0.87
173,312,105,4,4.2,3.3,8.94,1,0.59
174,291,89,5,2.3,4.2,9.46,1,0.88
175,311,89,1,3.1,4.7,9.07,0,0.57
176,313,85,5,3.0,4.7,6.57,1,0.95
177,298,99,3,4.9,4.0,6.14,0,0.65
178,326,108,3,2.3,2.6,7.09,1,0.91
179,335,115,5,3.4,4.9,6.68,1,0.84
180,335,98,4,4.3,2.8,9.63,1,0.76
181,338,83,5,2.5,3.7,6.28,1,0.75
182,314,108,5,4.4,2.8,8.2,0,0.55
183,333,88,3,3.9,4.8,6.81,1,0.59
184,334,111,4,2.8,4.9,7.09,1,0.88
185,325,118,1,3.5,4.9,7.61,0,0.73
186,311,87,1,2.0,4.7,8.52,1,0.56
187,289,116,4,3.5,2.4,8.93,0,0.66
188,326,85,5,2.9,4.5,7.09,1,0.91
189,292,119,4,2.2,2.0,7.91,0,0.56
190,339,120,2,4.9,4.7,7.91,0,0.92
191,331,94,1,3.0,2.3,7.84,0,0.63
192,305,111,1,2.7,4.5,9.07,1,0.91
193,332,80,2,3.0,2.2,9.16,0,0.9
194,313,85,1,4.4,2.4,9.22,1,0.9
195,283,111,1,4.9,3.3,7.98,1,0.83
196,308,118,5,2.5,3.5,7.48,1,0.76
197,335,110,3,4.7,3.9,8.98,1,0.74
198,340,119,2,4.0,3.4,8.51,0,0.84
199,323,97,3,4.7,3.4,9.15,1,0.86
200,320,110,3,4.9,5.0,8.64,1,0.76
201,281,80,3,3.1,2.8,7.55,0,0.63
202,282,84,2,4.3,3.2,7.78,0,0.58
203,336,109,3,3.7,2.4,8.46,1,0.51
204,314,83,3,4.9,3.1,9.53,1,0.69
205,325,93,5,3.4,2.3,8.68,1,0.72
206,313,88,4,3.0,3.3,8.59,1,0.72
207,287,89,5,4.3,2.3,9.89,1,0.76
208,317,99,1,4.7,4.9,9.08,0,0.98
209,304,105,4,3.0,4.9,6.99,0,0.76
210,294,101,2,3.2,2.4,7.74,0,0.96
211,296,91,3,5.0,3.3,9.98,0,0.9
212,287,111,2,4.9,5.0,9.64,0,0.67
213,296,80,1,3.6,4.1,7.59,1,0.77
214,285,82,3,4.3,5.0,6.51,0,0.69
215,338,111,2,3.4,4.4,9.5,0,0.74
216,299,112,3,3.2,3.5,7.81,0,0.53
217,318,114,5,2.6,4.0,6.74,0,0.8
218,302,100,2,4.0,4.7,9.99,0,0.51
219,325,82,2,2.2,3.0,9.43,0,0.65
220,280,102,5,2.9,3.7,9.9,0,0.75
221,318,93,3,2.1,4.1,7.45,0,0.59
222,286,99,1,4.0,3.5,8.46,0,0.89
223,339,105,4,3.2,3.6,7.63,0,0.91
224,322,113,2,2.6,2.7,6.04,1,0.65
225,312,88,3,2.3,4.5,6.47,1,0.86
226,312,98,5,3.0,2.4,6.34,0,0.84
227,296,105,5,4.1,4.6,6.64,0,0.58
228,281,110,4,4.6,3.3,7.28,0,0.76
229,293,91,1,4.7,3.6,8.21,0,0.94
230,316,97,5,2.7,3.5,9.32,0,0.74
231,316,89,5,2.8,4.9,7.42,1,0.52
232,285,106,5,3.8,3.6,6.48,0,0.64
233,316,89,2,3.9,4.3,8.37,0,0.7
234,332,82,4,2.7,4.7,7.14,0,0.91
235,292,111,5,2.3,3.0,9.56,0,0.54
236,303,89,4,4.3,3.8,7.64,1,0.7
237,282,99,2,3.8,3.3,7.08,0,0.53
238,340,91,4,3.4,4.1,8.05,0,0.71
239,293,93,3,4.9,3.9,9.51,0,0.66
240,284,118,4,2.1,3.1,6.49,0,0.84
241,298,111,2,2.1,5.0,9.56,1,0.78
242,286,85,2,4.6,2.3,8.14,0,0.59
243,328,92,4,2.9,5.0,7.87,1,0.94
244,332,120,3,4.2,4.9,9.67,0,0.61
245,318,104,5,4.1,3.6,9.04,0,0.65
246,287,113,2,4.6,3.9,9.16,1,0.89
247,313,87,5,3.2,3.3,7.97,1,0.53
248,291,117,5,3.4,2.6,7.97,1,0.74
249,328,117,1,4.9,3.8,9.25,0,0.54
250,292,101,2,2.0,4.3,7.67,1,0.83
251,282,104,3,4.3,4.5,8.05,1,0.64
252,326,108,4,2.4,3.1,9.92,1,0.88
253,299,94,4,3.4,4.7,6.53,1,0.57
254,296,109,5,4.5,3.9,9.19,1,0.67
255,335,92,2,4.3,3.0,9.24,0,0.95
256,330,116,4,2.9,3.9,9.88,0,0.94
257,301,95,2,3.3,4.9,7.51,0,0.55
258,280,108,4,2.6,4.4,9.68,0,0.96
259,282,107,1,4.8,4.8,9.81,1,0.83
260,331,106,3,4.0,3.6,6.73,0,0.84
261,285,119,3,2.7,3.9,7.85,0,0.88
262,293,111,4,4.3,3.1,8.54,1,0.85
263,299,87,3,3.9,4.6,9.58,0,0.93
264,338,105,1,2.3,4.7,8.63,1,0.93
265,336,110,4,3.1,5.0,7.59,0,0.72
266,340,85,1,3.7,3.3,9.77,0,0.69
267,307,104,1,2.5,4.8,8.54,1,0.57
268,334,107,2,2.6,4.1,9.86,1,0.92
269,323,82,4,3.8,3.3,8.21,0,0.6
270,325,85,5,2.8,3.2,6.59,0,0.9
271,293,108,5,2.6,4.6,9.01,1,0.91
272,308,87,1,3.6,4.8,7.35,0,0.59
273,280,106,2,4.0,3.4,6.54,1,0.79
274,319,100,1,3.2,4.5,9.68,0,0.71
275,293,117,4,3.7,2.6,9.14,0,0.71
276,309,117,2,3.0,3.9,9.11,1,1.0
277,331,96,3,3.9,3.3,7.37,0,0.53
278,282,103,4,4.6,4.3,7.36,0,0.67
279,318,119,3,5.0,2.1,9.53,0,0.7
280,316,110,3,4.7,4.2,9.38,1,0.76
281,314,107,5,3.1,4.7,6.68,0,0.68
282,330,85,5,2.4,3.2,7.01,0,0.54
283,291,106,3,2.3,2.3,6.95,1,0.99
284,325,80,2,4.7,2.8,9.58,1,0.91
285,335,103,1,3.2,3.8,9.7,0,0.96
286,302,108,4,2.2,2.4,6.68,0,0.73
287,320,101,5,4.7,4.8,8.68,1,0.77
288,322,81,5,3.5,4.2,7.49,0,0.99
289,290,118,2,3.6,3.8,8.03,0,0.99
290,339,106,5,2.9,3.5,7.11,0,0.98
291,297,114,4,2.3,4.5,9.78,0,0.54
292,330,101,1,2.1,2.9,8.04,0,0.77
293,324,81,4,4.4,4.3,8.35,1,0.78
294,297,106,2,3.2,3.1,7.85,0,0.69
295,331,97,5,2.3,2.7,6.86,0,0.99
296,306,107,5,2.9,2.8,9.07,0,0.56
297,301,119,5,2.9,4.7,8.52,0,0.65
298,290,87,1,3.9,4.3,7.13,1,0.64
299,314,116,3,3.7,4.6,6.68,1,0.79
300,304,114,3,4.0,4.4,8.07,0,0.9
301,295,101,5,2.7,5.0,6.78,1,0.67
302,304,101,3,2.5,4.8,8.46,1,0.8
303,311,99,3,4.2,3.5,8.22,1,0.72
304,287,83,5,3.5,2.8,8.49,0,0.67
305,338,106,2,2.8,2.5,9.96,1,0.63
306,310,104,5,2.0,2.5,6.93,1,0.94
307,283,112,2,2.2,4.1,9.51,0,0.83
308,294,81,1,3.1,3.6,6.34,1,0.97
309,297,115,3,4.5,3.1,8.19,0,0.8
310,284,107,1,2.9,3.7,8.64,0,0.62
311,320,102,1,4.7,4.1,9.64,0,0.94
312,305,89,5,2.1,2.5,8.87,1,0.58
313,300,105,4,2.8,3.8,8.95,1,0.87
314,317,82,5,2.1,4.9,9.35,0,0.58
315,292,112,5,3.3,4.4,8.26,0,0.62
316,284,116,2,4.8,4.8,8.75,1,0.8
317,312,106,2,4.4,3.1,9.64,0,0.5
318,319,101,4,3.7,2.6,6.83,0,0.67
319,286,85,2,3.2,3.5,8.81,1,0.57
320,337,88,5,3.1,3.7,9.44,1,0.53
321,339,94,2,3.4,4.5,8.01,1,0.98
322,314,105,2,3.4,3.7,8.46,1,0.85
323,335,85,4,2.1,3.3,6.47,1,0.65
324,281,91,2,4.9,3.4,7.2,0,0.91
325,301,119,4,3.2,5.0,7.44,1,0.62
326,323,108,3,3.8,4.6,8.16,1,0.74
327,335,113,2,5.0,3.1,7.25,1,0.89
328,316,110,2,2.6,4.9,6.54,0,0.71
329,334,108,2,3.3,4.0,9.43,1,0.91
330,323,89,1,3.7,2.8,8.5,0,0.68
331,335,91,2,3.3,3.1,7.15,1,0.82
332,324,91,5,4.9,3.4,6.67,0,0.64
333,315,112,4,2.6,2.2,9.16,1,0.87
334,323,106,1,2.5,4.0,8.23,1,0.59
335,306,91,4,2.8,2.6,6.55,0,0.99
336,292,103,2,3.9,5.0,8.47,0,0.86
337,286,106,2,3.0,3.9,8.47,1,0.91
338,309,88,4,2.8,4.0,7.81,1,0.54
339,301,96,4,2.5,3.8,7.51,1,0.75
340,336,93,1,4.3,3.1,6.05,1,0.57
341,311,96,2,2.8,4.3,7.02,0,0.69
342,338,103,1,2.6,2.8,9.75,1,0.87
343,320,109,2,4.6,3.1,9.41,0,0.63
344,333,98,2,4.1,4.7,6.01,0,0.63
345,289,86,4,3.8,2.0,8.19,0,0.61
346,331,94,3,2.9,4.9,6.59,1,0.55
347,306,104,3,3.8,3.6,9.43,1,0.73
348,304,102,5,2.7,4.3,6.91,0,0.68
349,303,80,1,4.5,3.3,9.82,0,0.78
350,334,120,5,4.8,2.6,9.28,1,0.86
351,299,99,1,3.8,3.1,8.29,0,0.68
352,281,106,1,4.9,4.7,7.49,1,0.75
353,321,99,5,3.8,4.8,9.7,0,0.85
354,333,114,3,3.3,3.8,7.36,1,0.97
355,297,107,4,4.8,4.8,9.59,0,0.79
356,296,88,4,2.6,3.2,8.41,1,0.69
357,314,93,3,3.9,4.8,8.54,1,0.91
358,323,82,1,4.8,2.2,7.2,1,0.86
359,303,104,1,3.5,2.2,6.94,0,0.69
360,335,120,3,2.1,2.7,8.34,1,0.58
361,322,118,2,4.5,4.3,8.8,1,0.7
362,323,84,5,4.7,3.0,9.31,1,0.76
363,338,98,5,2.9,2.7,8.07,0,0.71
364,305,83,1,2.5,2.3,7.04,0,0.72
365,314,104,3,3.1,2.4,8.19,1,0.75
366,331,106,5,2.1,4.3,7.77,1,0.86
367,336,90,3,4.7,4.9,8.48,0,0.96
368,329,93,5,4.1,4.0,9.41,1,0.87
369,332,115,1,4.2,2.3,9.52,1,0.95
370,291,81,5,3.1,3.5,7.51,0,0.61
371,328,120,2,4.8,2.9,6.34,0,0.7
372,303,92,2,4.1,2.1,7.62,1,0.76
373,300,120,4,4.2,3.9,7.72,1,0.78
374,308,99,2,3.3,4.4,8.49,1,0.95
375,296,110,1,4.9,2.7,6.68,1,0.6
376,335,102,4,3.6,4.3,7.78,0,0.91
377,294,81,3,2.4,3.7,7.43,1,0.58
378,334,83,4,4.5,4.0,7.3,1,0.85
379,336,80,2,3.3,4.9,9.1,1,0.7
380,294,98,2,2.3,3.4,9.41,0,0.55
381,280,107,4,2.6,2.2,9.93,0,0.63
382,296,120,1,4.2,3.2,8.08,1,0.89
383,315,119,5,2.5,2.2,8.36,1,0.52
384,315,102,2,2.3,4.3,9.83,0,0.99
385,318,96,5,2.8,3.7,9.8,0,0.99
386,338,117,2,3.1,3.8,6.1,1,0.79
387,306,110,1,4.8,3.1,8.65,1,0.89
388,298,108,1,4.1,4.6,8.34,0,0.68
389,280,93,2,2.3,4.4,7.25,1,0.63
390,333,114,4,4.7,3.1,9.26,0,0.81
391,339,93,4,3.9,3.8,9.5,0,0.94
392,307,118,1,4.0,2.3,9.22,0,0.54
393,294,119,5,3.1,3.4,7.43,1,0.63
394,325,94,3,2.3,4.9,7.31,1,0.8
395,291,94,5,2.6,2.4,6.11,1,0.94
396,311,118,3,4.4,3.6,8.77,0,0.8
397,324,104,3,3.7,3.6,9.8,1,0.76
398,335,97,4,2.4,4.4,9.52,1,0.73
399,300,108,4,2.2,2.9,7.83,0,0.73
400,288,107,2,4.0,2.1,9.28,0,0.52
401,315,89,5,5.0,4.4,6.81,1,0.57
402,297,88,3,4.2,3.5,8.05,1,0.9
403,312,92,3,3.5,4.2,9.32,0,0.71
404,288,97,3,3.7,2.5,6.8,0,0.88
405,307,115,3,3.1,2.7,8.22,0,0.62
406,321,89,3,4.2,3.1,9.35,0,0.72
407,312,110,2,3.2,3.5,8.55,0,0.83
408,312,119,4,2.6,3.3,9.96,0,0.95
409,281,105,3,2.0,2.8,7.12,1,0.93
410,307,88,5,4.0,3.1,7.71,0,0.51
411,291,117,3,4.9,3.5,8.44,1,0.91
412,320,102,2,3.0,3.2,9.75,0,0.89
413,327,110,2,2.7,2.2,8.62,0,0.56
414,309,105,2,2.3,3.4,7.43,1,0.62
415,303,92,4,2.1,3.1,6.92,0,0.98
416,308,104,3,4.3,4.2,7.81,0,0.72
417,285,107,3,2.8,2.1,6.19,0,0.83
418,330,87,5,4.8,3.4,8.98,0,0.51
419,289,113,4,2.5,2.3,9.13,1,0.75
420,288,102,5,3.2,2.7,9.15,1,0.53
421,316,116,5,2.5,2.6,7.48,0,0.89
422,334,99,3,2.9,2.7,9.51,1,0.75
423,327,114,3,3.4,2.7,7.8,0,0.94
424,296,102,1,2.8,3.4,7.45,0,0.8
425,317,87,2,4.4,2.8,6.97,1,0.65
426,306,115,5,4.0,2.6,8.25,1,0.68
427,323,108,3,3.6,2.5,9.35,1,0.82
428,336,119,4,2.7,4.2,8.99,0,0.52
429,314,85,3,4.1,3.8,6.11,1,0.6
430,284,113,4,3.9,2.5,8.61,0,0.68
431,329,98,1,4.8,3.6,9.73,1,0.88
432,340,89,1,4.2,4.9,6.44,0,0.8
433,327,118,3,4.9,2.9,6.96,0,0.9
434,301,120,5,2.1,2.8,9.1,1,0.88
435,287,90,2,3.2,4.5,7.09,1,0.69
436,302,115,5,3.0,2.9,7.28,1,0.96
437,282,102,4,2.7,4.1,6.56,0,0.59
438,316,102,2,3.2,3.1,9.13,1,0.88
439,288,90,5,2.6,3.3,7.81,1,0.96
440,307,109,4,4.4,3.1,6.97,1,0.85
441,324,101,1,2.0,3.4,8.28,0,0.53
442,340,82,5,3.3,4.5,8.3,1,0.65
443,316,86,1,2.8,2.8,6.15,0,0.68
444,329,83,2,2.5,4.1,9.38,1,0.9
445,293,83,1,3.0,4.7,6.21,1,0.89
446,284,100,5,4.6,4.7,8.12,0,0.52
447,317,86,5,3.2,2.4,6.4,1,0.89
448,318,104,3,4.6,3.3,9.8,0,0.72
449,302,116,3,3.3,3.6,7.69,0,0.71
450,320,89,4,3.4,4.2,9.77,0,0.95
451,315,111,2,4.7,2.9,8.87,1,0.97
452,315,96,5,3.9,4.5,9.37,0,0.77
453,307,84,4,3.2,4.3,7.16,1,0.94
454,312,119,1,4.6,3.1,9.25,0,0.91
455,318,86,4,4.6,2.8,7.61,1,0.71
456,320,110,1,2.6,5.0,8.8,1,0.79
457,316,99,2,3.4,2.4,8.54,1,0.88
458,280,101,4,4.9,3.1,7.94,0,0.74
459,301,107,2,3.9,3.8,6.01,0,0.81
460,284,114,2,4.6,4.9,7.14,0,0.78
461,300,119,5,4.3,2.3,7.41,0,0.95
462,292,114,4,4.8,2.1,9.44,1,0.53
463,335,96,4,4.2,4.6,7.85,0,0.8
464,308,107,2,4.9,3.6,9.31,0,0.92
465,281,92,5,3.9,3.3,9.01,0,0.99
466,287,97,4,3.8,4.9,8.6,1,0.87
467,303,103,1,3.4,2.8,7.43,1,0.53
468,297,87,5,4.2,3.8,8.7,0,0.89
469,304,91,5,3.2,2.8,9.76,1,0.79
470,316,81,4,3.9,2.3,7.71,1,0.95
471,295,106,3,4.6,3.2,9.31,0,0.81
472,315,119,1,4.2,4.4,6.45,1,0.53
473,328,84,3,4.5,4.4,9.01,0,0.72
474,340,114,2,3.2,3.8,9.35,1,0.68
475,286,99,2,4.4,3.6,6.97,1,0.89
476,335,81,5,3.8,4.5,8.45,0,0.62
477,335,110,1,3.0,3.7,6.8,1,0.8
478,281,84,4,2.7,2.9,6.89,1,0.84
479,316,82,1,4.7,4.9,8.59,0,0.77
480,316,119,5,4.4,3.3,9.8,1,0.99
481,329,93,4,3.2,4.1,9.57,0,0.69
482,288,98,5,4.8,2.3,9.22,1,0.86
483,304,81,2,4.9,4.0,9.12,0,0.64
484,303,104,5,4.4,4.6,6.48,0,0.56
485,281,105,2,2.7,4.0,6.74,0,0.96
486,325,111,5,3.1,2.1,6.94,1,0.53
487,325,94,5,3.7,2.8,8.0,0,0.84
488,304,103,5,3.4,4.0,7.03,0,0.72
489,306,117,2,4.4,2.6,7.31,1,0.73
490,314,91,5,4.3,2.1,9.7,1,0.83
491,304,114,5,4.0,4.9,8.26,1,0.6
492,324,87,5,5.0,3.5,7.66,0,0.9
493,306,92,1,3.3,3.9,6.16,0,0.9
494,294,98,3,2.5,3.7,7.92,0,0.57
495,318,109,2,2.1,2.1,6.7,0,0.7
496,288,86,5,4.5,4.4,7.62,0,0.66
497,329,89,4,4.6,4.2,9.69,1,0.94
498,282,92,5,2.8,4.5,9.35,0,0.61
499,281,94,3,4.4,4.5,7.04,1,0.88
500,304,84,5,3.0,3.0,6.28,1,0.62
501,332,81,2,2.9,4.4,8.1,1,0.89
502,297,119,5,3.9,4.4,8.07,1,0.56
503,331,88,2,5.0,3.5,7.2,1,0.77
504,285,120,2,2.1,2.2,6.61,1,0.65
505,285,88,1,3.6,3.0,9.5,0,0.56
506,331,88,5,4.7,4.0,9.31,0,0.71
507,333,100,2,2.6,3.2,7.7,1,0.89
508,313,119,5,3.0,4.1,6.27,0,0.87
509,291,113,4,3.7,3.5,7.42,1,0.84
510,289,117,2,3.6,2.0,6.26,1,0.79
511,331,104,5,4.5,4.5,6.27,0,0.64
512,290,117,3,4.4,2.7,8.75,1,0.55
513,298,92,3,4.5,4.9,7.68,1,0.6
514,301,94,4,3.2,2.3,7.62,1,0.81
515,289,92,4,3.5,3.7,6.05,0,0.53
516,313,100,2,4.4,4.7,8.58,1,0.54
517,317,113,5,3.8,3.1,7.05,0,0.56
518,317,105,5,3.4,3.8,9.42,0,0.58
519,324,101,4,2.6,4.2,8.77,0,0.51
520,290,101,2,4.5,4.6,6.66,1,0.64
521,294,114,3,4.1,3.5,9.71,1,0.94
522,293,80,1,2.2,3.1,6.89,1,0.99
523,332,92,4,3.6,4.9,7.68,0,0.57
524,335,120,2,3.6,3.2,6.19,0,0.75
525,325,82,3,3.8,3.6,9.62,1,0.68
526,321,80,5,2.3,3.4,6.15,1,0.72
527,340,113,2,3.8,4.8,7.25,1,0.63
528,329,98,3,2.2,4.0,7.76,1,0.82
529,295,120,4,2.5,4.0,6.88,1,0.84
530,322,109,3,4.0,2.1,9.64,0,0.82
531,281,111,1,2.4,4.7,7.62,1,0.83
532,288,115,1,2.9,4.0,7.23,1,0.73
533,317,116,3,2.5,4.1,8.58,1,0.83
534,283,81,1,4.2,2.8,6.4,1,0.98
